id,pais,ciudad,region_geografica,servicio,metrica,spearman_rho,p_valor,significativo
11,México,Puebla,Centro-Oriente,policia,betweenness_c,-0.1155,0.0,True
11,México,Puebla,Centro-Oriente,policia,closeness_c,-0.6898,0.0,True
11,México,Puebla,Centro-Oriente,policia,degree_c,-0.2225,0.0,True
12,México,Veracruz,Golfo (Oriente),bomberos,betweenness_c,-0.1179,0.0,True
12,México,Veracruz,Golfo (Oriente),bomberos,closeness_c,-0.2651,0.0,True
12,México,Veracruz,Golfo (Oriente),bomberos,degree_c,-0.1572,0.0,True
12,México,Veracruz,Golfo (Oriente),clinica,betweenness_c,-0.0787,0.0,True
12,México,Veracruz,Golfo (Oriente),clinica,closeness_c,-0.0127,0.107958,False
12,México,Veracruz,Golfo (Oriente),clinica,degree_c,-0.0855,0.0,True
12,México,Veracruz,Golfo (Oriente),escuela,betweenness_c,-0.1425,0.0,True
12,México,Veracruz,Golfo (Oriente),escuela,closeness_c,-0.1748,0.0,True
12,México,Veracruz,Golfo (Oriente),escuela,degree_c,-0.1705,0.0,True
12,México,Veracruz,Golfo (Oriente),farmacia,betweenness_c,-0.1502,0.0,True
12,México,Veracruz,Golfo (Oriente),farmacia,closeness_c,-0.2283,0.0,True
12,México,Veracruz,Golfo (Oriente),farmacia,degree_c,-0.1576,0.0,True
12,México,Veracruz,Golfo (Oriente),hospital,betweenness_c,-0.0611,0.0,True
12,México,Veracruz,Golfo (Oriente),hospital,closeness_c,0.0175,0.027689,True
12,México,Veracruz,Golfo (Oriente),hospital,degree_c,-0.1095,0.0,True
12,México,Veracruz,Golfo (Oriente),mercado,betweenness_c,-0.1749,0.0,True
12,México,Veracruz,Golfo (Oriente),mercado,closeness_c,-0.3039,0.0,True
12,México,Veracruz,Golfo (Oriente),mercado,degree_c,-0.1591,0.0,True
12,México,Veracruz,Golfo (Oriente),parque,betweenness_c,-0.0766,0.0,True
12,México,Veracruz,Golfo (Oriente),parque,closeness_c,-0.0137,0.083444,False
12,México,Veracruz,Golfo (Oriente),parque,degree_c,-0.0524,0.0,True
12,México,Veracruz,Golfo (Oriente),policia,betweenness_c,-0.0793,0.0,True
12,México,Veracruz,Golfo (Oriente),policia,closeness_c,-0.3426,0.0,True
12,México,Veracruz,Golfo (Oriente),policia,degree_c,-0.0958,0.0,True
13,México,Oaxaca de Juárez,Sur,bomberos,betweenness_c,-0.1161,0.0,True
13,México,Oaxaca de Juárez,Sur,bomberos,closeness_c,-0.8385,0.0,True
13,México,Oaxaca de Juárez,Sur,bomberos,degree_c,-0.1716,0.0,True
13,México,Oaxaca de Juárez,Sur,clinica,betweenness_c,-0.1583,0.0,True
13,México,Oaxaca de Juárez,Sur,clinica,closeness_c,-0.5261,0.0,True
13,México,Oaxaca de Juárez,Sur,clinica,degree_c,-0.236,0.0,True
13,México,Oaxaca de Juárez,Sur,escuela,betweenness_c,-0.1881,0.0,True
13,México,Oaxaca de Juárez,Sur,escuela,closeness_c,-0.4446,0.0,True
13,México,Oaxaca de Juárez,Sur,escuela,degree_c,-0.2776,0.0,True
13,México,Oaxaca de Juárez,Sur,farmacia,betweenness_c,-0.1188,0.0,True
13,México,Oaxaca de Juárez,Sur,farmacia,closeness_c,-0.7182,0.0,True
13,México,Oaxaca de Juárez,Sur,farmacia,degree_c,-0.1767,0.0,True
13,México,Oaxaca de Juárez,Sur,hospital,betweenness_c,-0.0917,0.0,True
13,México,Oaxaca de Juárez,Sur,hospital,closeness_c,-0.6446,0.0,True
13,México,Oaxaca de Juárez,Sur,hospital,degree_c,-0.1331,0.0,True
13,México,Oaxaca de Juárez,Sur,mercado,betweenness_c,-0.1323,0.0,True
13,México,Oaxaca de Juárez,Sur,mercado,closeness_c,-0.6541,0.0,True
13,México,Oaxaca de Juárez,Sur,mercado,degree_c,-0.2178,0.0,True
13,México,Oaxaca de Juárez,Sur,parque,betweenness_c,-0.0989,0.0,True
13,México,Oaxaca de Juárez,Sur,parque,closeness_c,-0.5387,0.0,True
13,México,Oaxaca de Juárez,Sur,parque,degree_c,-0.1497,0.0,True
13,México,Oaxaca de Juárez,Sur,policia,betweenness_c,-0.1024,0.0,True
13,México,Oaxaca de Juárez,Sur,policia,closeness_c,-0.8632,0.0,True
13,México,Oaxaca de Juárez,Sur,policia,degree_c,-0.1637,0.0,True
14,México,Tuxtla Gutiérrez,Sur,bomberos,betweenness_c,-0.1163,0.0,True
14,México,Tuxtla Gutiérrez,Sur,bomberos,closeness_c,-0.5784,0.0,True
14,México,Tuxtla Gutiérrez,Sur,bomberos,degree_c,-0.0467,0.0,True
14,México,Tuxtla Gutiérrez,Sur,clinica,betweenness_c,-0.0944,0.0,True
14,México,Tuxtla Gutiérrez,Sur,clinica,closeness_c,-0.5665,0.0,True
14,México,Tuxtla Gutiérrez,Sur,clinica,degree_c,-0.0421,0.0,True
14,México,Tuxtla Gutiérrez,Sur,escuela,betweenness_c,-0.1427,0.0,True
14,México,Tuxtla Gutiérrez,Sur,escuela,closeness_c,-0.3959,0.0,True
14,México,Tuxtla Gutiérrez,Sur,escuela,degree_c,-0.1673,0.0,True
14,México,Tuxtla Gutiérrez,Sur,farmacia,betweenness_c,-0.1489,0.0,True
14,México,Tuxtla Gutiérrez,Sur,farmacia,closeness_c,-0.4998,0.0,True
14,México,Tuxtla Gutiérrez,Sur,farmacia,degree_c,-0.0825,0.0,True
14,México,Tuxtla Gutiérrez,Sur,hospital,betweenness_c,-0.1306,0.0,True
14,México,Tuxtla Gutiérrez,Sur,hospital,closeness_c,-0.61,0.0,True
14,México,Tuxtla Gutiérrez,Sur,hospital,degree_c,-0.1369,0.0,True
14,México,Tuxtla Gutiérrez,Sur,mercado,betweenness_c,-0.1575,0.0,True
